8 - 9
7 - 9
7 - 8
6 - 9
6 - 7
6 - 8
0 - 6
0 - 7
0 - 8
1 - 0
1 - 6
1 - 7
1 - 8
2 - 0
2 - 1
2 - 6
2 - 7
2 - 8
3 - 0
3 - 1
3 - 2
3 - 6
3 - 7
3 - 8
5 - 0
5 - 1
5 - 2
5 - 3
5 - 6
5 - 7
5 - 8
33 - 0
33 - 1
33 - 2
33 - 3
33 - 5
33 - 6
33 - 7
33 - 8
21 - 4
40 - 33
40 - 0
40 - 1
40 - 2
40 - 3
40 - 5
40 - 6
40 - 7
40 - 8
43 - 40
43 - 33
43 - 0
43 - 1
43 - 2
43 - 3
43 - 5
43 - 6
43 - 7
43 - 8
11 - 40
11 - 33
11 - 0
11 - 1
11 - 2
11 - 3
11 - 5
11 - 6
11 - 7
11 - 8
12 - 40
12 - 33
12 - 0
12 - 1
12 - 2
12 - 3
12 - 5
12 - 6
12 - 7
12 - 8
13 - 12
13 - 40
13 - 33
13 - 0
13 - 1
13 - 2
13 - 3
13 - 5
13 - 6
13 - 7
13 - 8
14 - 12
14 - 40
14 - 33
14 - 0
14 - 1
14 - 2
14 - 3
14 - 5
14 - 6
14 - 7
14 - 8
41 - 40
41 - 33
41 - 0
41 - 1
41 - 2
41 - 3
41 - 5
41 - 6
41 - 7
41 - 8
42 - 41
42 - 40
42 - 33
42 - 0
42 - 1
42 - 2
42 - 3
42 - 5
42 - 6
42 - 7
42 - 8
15 - 41
15 - 42
15 - 40
15 - 33
15 - 0
15 - 1
15 - 2
15 - 3
15 - 5
15 - 6
15 - 7
15 - 8
16 - 4
16 - 21
18 - 4
18 - 21
17 - 18
17 - 4
17 - 21
19 - 18
19 - 4
19 - 21
20 - 18
20 - 19
20 - 4
20 - 21
24 - 18
24 - 19
24 - 4
24 - 21
22 - 24
22 - 19
22 - 4
22 - 21
23 - 24
23 - 19
23 - 4
23 - 21
25 - 19
25 - 24
25 - 4
25 - 21
28 - 19
28 - 24
28 - 4
28 - 21
26 - 28
26 - 24
26 - 4
26 - 21
27 - 28
27 - 24
27 - 4
27 - 21
45 - 43
45 - 40
45 - 33
45 - 0
45 - 1
45 - 2
45 - 3
45 - 5
45 - 6
45 - 7
45 - 8
44 - 43
44 - 40
44 - 33
44 - 0
44 - 1
44 - 2
44 - 3
44 - 5
44 - 6
44 - 7
44 - 8
45 - 44
29 - 45
29 - 44
29 - 43
29 - 40
29 - 33
29 - 0
29 - 1
29 - 2
29 - 3
29 - 5
29 - 6
29 - 7
29 - 8
30 - 29
30 - 45
30 - 44
30 - 43
30 - 40
30 - 33
30 - 0
30 - 1
30 - 2
30 - 3
30 - 5
30 - 6
30 - 7
30 - 8
31 - 45
31 - 40
31 - 33
31 - 0
31 - 1
31 - 2
31 - 3
31 - 5
31 - 6
31 - 7
31 - 8
32 - 31
32 - 45
32 - 40
32 - 33
32 - 0
32 - 1
32 - 2
32 - 3
32 - 5
32 - 6
32 - 7
32 - 8
34 - 45
34 - 40
34 - 33
34 - 0
34 - 1
34 - 2
34 - 3
34 - 5
34 - 6
34 - 7
34 - 8
35 - 34
35 - 45
35 - 40
35 - 33
35 - 0
35 - 1
35 - 2
35 - 3
35 - 5
35 - 6
35 - 7
35 - 8
36 - 45
36 - 40
36 - 33
36 - 0
36 - 1
36 - 2
36 - 3
36 - 5
36 - 6
36 - 7
36 - 8
37 - 36
37 - 45
37 - 40
37 - 33
37 - 0
37 - 1
37 - 2
37 - 3
37 - 5
37 - 6
37 - 7
37 - 8
38 - 45
38 - 40
38 - 33
38 - 0
38 - 1
38 - 2
38 - 3
38 - 5
38 - 6
38 - 7
38 - 8
39 - 38
39 - 45
39 - 40
39 - 33
39 - 0
39 - 1
39 - 2
39 - 3
39 - 5
39 - 6
39 - 7
39 - 8
