20 - 3
0 - 20
0 - 3
2 - 20
2 - 0
2 - 3
18 - 2
18 - 0
18 - 20
18 - 3
13 - 2
13 - 18
13 - 0
13 - 20
13 - 3
11 - 0
11 - 20
11 - 3
18 - 11
10 - 0
10 - 11
10 - 18
10 - 20
10 - 3
4 - 18
4 - 13
4 - 2
4 - 0
4 - 20
4 - 3
1 - 20
1 - 0
1 - 10
1 - 11
1 - 18
1 - 3
19 - 20
19 - 1
19 - 0
19 - 10
19 - 11
19 - 18
19 - 3
14 - 19
14 - 20
14 - 1
14 - 0
14 - 10
14 - 11
14 - 18
14 - 3
15 - 14
15 - 19
15 - 20
15 - 1
15 - 0
15 - 10
15 - 11
15 - 18
15 - 3
21 - 19
21 - 20
21 - 15
21 - 14
21 - 1
21 - 0
21 - 10
21 - 11
21 - 18
21 - 3
16 - 19
16 - 20
16 - 21
16 - 15
16 - 14
16 - 1
16 - 0
16 - 10
16 - 11
16 - 18
16 - 3
17 - 16
17 - 19
17 - 20
17 - 21
17 - 15
17 - 14
17 - 1
17 - 0
17 - 10
17 - 11
17 - 18
17 - 3
5 - 20
5 - 19
5 - 16
5 - 21
5 - 17
5 - 15
5 - 14
5 - 1
5 - 0
5 - 10
5 - 11
5 - 18
5 - 3
6 - 19
6 - 16
6 - 21
6 - 17
6 - 15
6 - 14
6 - 1
6 - 20
6 - 0
6 - 10
6 - 11
6 - 18
6 - 3
7 - 6
7 - 19
7 - 16
7 - 21
7 - 17
7 - 15
7 - 14
7 - 1
7 - 20
7 - 0
7 - 10
7 - 11
7 - 18
7 - 3
8 - 7
8 - 19
8 - 16
8 - 21
8 - 17
8 - 15
8 - 14
8 - 1
8 - 20
8 - 0
8 - 10
8 - 11
8 - 18
8 - 3
9 - 7
9 - 19
9 - 16
9 - 21
9 - 17
9 - 15
9 - 14
9 - 1
9 - 20
9 - 0
9 - 10
9 - 11
9 - 18
9 - 3
12 - 3
12 - 18
